1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.002242,0.001879,0.000001,0.000445,0.000114,0.000316,-0.000005,-0.000433,0.030066,0.020784,0.019808,0.018708,0.013101,0.011168,0.006584,0.010919
0.002224,0.000131,0.000164,0.000314,-0.000080,0.000068,0.000016,-0.000195,0.029171,0.020647,0.018044,0.017975,0.018228,0.017257,0.005300,0.010147
0.000506,-0.000417,-0.000189,-0.000004,-0.000070,0.000229,0.000053,-0.000116,0.025647,0.025366,0.017081,0.021096,0.014022,0.012628,0.006484,0.007229
0.000561,-0.001283,0.000547,-0.000088,0.000043,-0.000060,-0.000006,-0.000049,0.029289,0.018849,0.017911,0.016574,0.013300,0.018412,0.006733,0.010298
-0.003291,-0.000380,0.000320,0.000099,-0.000107,-0.000239,-0.000011,-0.000031,0.031764,0.019972,0.018111,0.018373,0.013203,0.017681,0.005241,0.011736
0.001808,-0.000661,-0.000234,0.000144,0.000119,0.000115,0.000009,-0.000061,0.028315,0.018214,0.024860,0.018106,0.014648,0.013676,0.006315,0.006988
-0.000054,-0.003229,0.000851,-0.000061,0.000092,0.000074,0.000003,0.000037,0.027379,0.023407,0.024860,0.013709,0.019242,0.018336,0.005326,0.010298
-0.000434,0.000596,0.000223,0.000790,-0.000019,0.000171,0.000008,-0.000079,0.022552,0.020526,0.018716,0.017806,0.017451,0.016527,0.005949,0.008171
0.006203,-0.001654,0.000832,0.000440,0.000055,0.000153,0.000042,0.000360,0.029409,0.026733,0.023861,0.021387,0.020217,0.015993,0.006223,0.010710
-0.005335,0.001069,0.000585,0.000281,0.000152,0.000361,0.000030,0.000146,0.028008,0.020532,0.024814,0.016893,0.018829,0.017409,0.005758,0.013189
0.002640,0.001028,-0.000102,0.000114,0.000075,0.000092,-0.000009,0.000055,0.037380,0.019561,0.017315,0.019300,0.010632,0.018781,0.005881,0.008843
0.000253,0.000077,0.000249,0.000126,-0.000207,0.000168,-0.000011,-0.000024,0.029312,0.022970,0.020027,0.017726,0.017697,0.016782,0.005061,0.007910
-0.000778,-0.003143,-0.000207,-0.000172,-0.000135,0.000016,-0.000004,-0.000134,0.024992,0.023643,0.015519,0.017554,0.016626,0.014685,0.007035,0.010518
-0.002948,0.001628,-0.000373,-0.000064,0.000177,0.000412,0.000009,0.000153,0.033579,0.020779,0.018054,0.016240,0.018410,0.017329,0.006097,0.011604
